##;##
@FFD demo file.
PowerConsumption;Nb of deployed VMs
7520.0;1
7520.0;2
7520.0;3
7520.0;4
7520.0;5
7520.0;6
7520.0;7
7520.0;8
7520.0;9
7520.0;10
7520.0;11
7520.0;12
7520.0;13
7520.0;14
7520.0;15
7520.0;16
7520.0;17
7520.0;18
7520.0;19
7520.0;20
7520.0;21
7520.0;22
7520.0;23
7520.0;24
7520.0;25
7520.0;26
7520.0;27
7520.0;28
7520.0;29
7520.0;30
7520.0;31
7520.0;32
7520.0;33
7520.0;34
7520.0;35
7520.0;36
7520.0;37
7520.0;38
7520.0;39
7520.0;40
7520.0;41
7520.0;42
7520.0;43
7520.0;44
7520.0;45
7520.0;46
7520.0;47
7520.0;48
